con_Adelaide.xml
==============================
talk="p": 	Hey, Adelaide! How are you holding up?
talk="Raziel": 	But if you prefer that old silly number zero.
talk="Taika": 	You'll become a master of doing nothing, being nothing.
talk="Taika": 	Okay, you're Miss Illusion. Smiling in all this confusion. Because you're young today, tomorrow you start to play.
talk="Raziel": 	What do you believe? Why do you believe it? Don't ya ever wonder... If it's really true...
talk="Taika": 	Look up in the air, the Octave Doctor's there! And when he strokes his gong. Your middle eye comes on!
talk="Raziel": 	I see you sittin' there on your old back veranda. You shady lady and waltzing Matilda. You're really only me if you'd only remember.
talk="p": 	Bye!
talk="p": 	(Prepare thine self, Emere.) I need a favor from you guys. Do you make magical essence?
talk="Taika": 	Sitting up there in your ivory city. Look so ugly and you feel so pretty. You hear me. But I don't see you. You feel me. One day I'll be you.
talk="p": 	Hey! That sounds like you are insulting me.
talk="Raziel": 	I'd just like to say, waves that you ride. Just to bolster your pride.
talk="Taika": 	But if it's love that you're after. The craft of a hero. Banana, nirvana, mañana.
talk="Raziel": 	Then when you're receiving. Perceiving your telepathic powers.
talk="Raziel": 	(Bring us a magical pinecone, then we'll talk.)
talk="p": 	Ah! You guys can understand me? And use telepathy? Whoa. The power of magic is incredible.
talk="Taika": 	You're born on this Planet now to help to show the way. To stop the spread of darkness and to sing the Golden Age.
talk="p": 	I assume that means you trust me? Okay.
talk="Taika": 	Well mirror, mirror on the wall. Who's the biggest fool of all?
talk="Raziel": 	Hallucinating freedom calls. What's freedom babe? You don't know!
talk="p": 	Alright! I'm trying to find your stupid pinecone.
talk="Taika": 	What a surprise! She looked in the cupboard. And found the eyes in the suitcase!
talk="p": 	You're welcome. Here. Take it. Can I have the essence now, please?
talk="Raziel": 	Maybe you're here for the giggle.
talk="Taika": 	Maybe you're into the puzzle.
talk="Raziel": 	Maybe you're blowing the bubble.
talk="Taika": 	Maybe you're all in a muddle.
talk="p": 	(Why are they dancing? Is it part of making the essence? Boy, this is weird.)
talk="Taika": 	You are my Magick Brother. You are the one in love.
talk="Raziel": 	You are my Mystic Sister. You are the one in love.
talk="Taika": 	Master Builder, tell me how you make a temple? Tools and moon stones, You don't really need them, you know... Master Builder, tell me what the temple's made of? Deep inside you, you can build an invisible temple in your own imagination.
talk="Raziel": 	Whose are these words I sing and what does my guitar sing? This is not me, I am not this. I'm only passing.
talk="Taika": 	Open up the veil and let us take a peep in, through the moon and diving deep we'll meet the whale where rides the captain's submarine. Who told the tale of pixies green that sends us kisses in the brain and out-far planets never seen except by technicolor dream.
talk="p": 	(Ooooooh. Colors. Images. Sounds. Flying teapots. Angels' Eggs. I see it all.)
talk="Taika": 	What's that in the sky now? Teapots that can fly now. Voices in your head. Tell me what they said.
talk="p": 	You're aquaman and in your hand is a watering can I now can believe it to be. The fun gods winking and we're all blinking and thinking we're sinking in the sea.
talk="Raziel": 	Everything you think shows. Hanging round your head. Underneath your long hair. Tell me what you feel there.
talk="p": 	It's too easy. Just to change your face. It's too easy. Just to change your place. You feel so cool.
talk="Taika": 	The light gets stronger and all our eyes look yonder to see what's going on. But that's all right you'll soon be out.
talk="Raziel": 	And everything we made, a flicker of light and shade. A body to wander by. A whistle of sound and sigh.
talk="Taika": 	I could swear that I saw it up in the sky. It was green as an emerald in the blue. Now I'm wondering if it was really you.
talk="Taika": 	Our brothers' hand. I'm happy to say that we have already won.
talk="p": 	(...Where am I? Oh, right!) Uhhhh. What did you guys do to me!?
talk="Raziel": 	Earth mother, soul sister be high here now.
talk="Taika": 	Bad weather hell for leather. Now and zen you goof again.
talk="p": 	I'm tired of your nonsense! I'm out!
talk="Raziel": 	Wake up my friend. We must act now. We've waited too long.
talk="Taika": 	For peace and Love, we've waited too long.
talk="Taika": 	So there goes Zero the Hero. Turning on around the wheel of births and deaths. And meanwhile the Octave Doctors--
talk="Raziel": 	Oh no, give a dog a bone. Don't come thinkin' through the door.
talk="Raziel": 	Well help me help me sing this song. I want to stay living for much too long.
talk="Taika": 	Well man you must be dead.
con_Nakamura.xml
==============================
talk="p": 	Good afternoon.
talk="n": 	Leave me be. I don't want to talk to anyone right now...
talk="p": 	(You're very antisocial.) Well, goodbye then.
talk="n": 	Please leave, I wish to be alone.
talk="p": 	(Fine, I didn't want to be here anyways.) Goodbye.
talk="p": 	Good afternoon.
talk="n": 	What do you want, child? I wish to be alone.
talk="p": 	I heard you make some great candy.
talk="n": 	You heard wrong, I make no such thing.
talk="n": 	You bother me. Leave.
talk="p": 	Is anything troubling you?
talk="n": 	No!
talk="p": 	Are you suuuuure?
talk="n": 	...It doesn't concern you. A youngster like you wouldn't be interested in an old lady's troubles.
talk="p": 	Talk it out with me. I want to help you.
talk="n": 	...If you insist.
talk="n": 	My husband died suddenly last week...
talk="n": 	It was a sudden and tragic death. He was on his way to get a locket fixed for me when a thug murdered him. I couldn't believe it when I heard it. It...made me very sad. The locket was a gift he gave me on our honeymoon. It was a great piece, made of silver and gold. It used to give me great joy when I looked at it, but now the thought of it only brings great pain. The thug only murdered my husband when he wouldn't give up the locket.
talk="n": 	I feel like it's my fault he died. If only I hadn't asked him to fix that locket...
talk="n": 	People such as yourself have been nosy in trying to get me to feel better. But you don't understand that there is hardly anything that will calm my aching heart.
talk="n": 	...Any who, thank you for listening to my story.
talk="p": 	I am so sorry.
talk="p": 	You are right.
talk="n": 	Kids these days... Be gone! Out! Get!
talk="p": 	Which way to the inn?
talk="n": 	It's right next door. Are you mocking me? Out with you!
talk="p": 	You say there is nothing that will make you feel better?
talk="n": 	Hardly anything, child. The only possession I had worth keeping was that locket. I will never forgive that dirty thief. Scum of the earth, he is.
talk="p": 	(What could the thief have done with it?)
talk="p": 	I found your locket, Nakamura.
talk="n": 	Give it here, child.
talk="n": 	No doubt about it, this is the locket... *Sniffle* You don't know what relief this brings me. Truly, you are a saint. I thank you from the bottom of my heart. It must have been hard work. I've got to repay you for your kindness. Is there anything you would like?
talk="p": 	 You don't have to give me anything. I like helping people.
talk="n": 	I can't have that. I must give you something in return. I know! Kids these days sure love their candy. How about I give you some? I used to be a confectioner back in my day.
talk="p": 	That would be lovely. Thank you!
talk="p": 	I heard that you make candy. Could I have some?
talk="n": 	You heard correctly. I was a confectioner back in my day. I think I have some left over.
talk="p": 	Sweet! Thanks, Nakamura!
talk="p": 	It's all thanks to mayor Rais. Do you recall his name?
talk="n": 	Rais? Why, of course, child! He was a great friend back in the day. I can't believe I lost touch with him. Where is he?
talk="p": 	He's mayor of Mourilyan. He would love to see you again.
talk="n": 	I'll definately visit him. We have a lot of catching up to do.
talk="n": 	Enjoy the candy, child.
talk="p": 	Thanks!
talk="p": 	Hey, Nacks!
talk="n": 	Bless you.
talk="p": 	I didn't sneeze! It's my new nickname for you, "Nacks."
talk="n": 	Child, please don't ever call me that again.
talk="p": 	You're no fun. See you later, Nacks!
talk="n": 	Children these days. Have some respect for your elders!
con_Oluwakanyinsola.xml
==============================
talk="n": 	Who you?
talk="p": 	Me just visit.
talk="n": 	Not here to cut tree? If, I will harm!
talk="p": 	No, no. Really I just visit.
talk="n": 	Eye on you.
talk="p": 	Hello. What are you doing out here in the forest?
talk="n": 	Live at nature. You here do harm, nature?
talk="p": 	No? (What's he saying?)
talk="n": 	Town destroy nature beauty. Chemicals destroy life. Create death. People stupid. You harm, nature?
talk="p": 	No. I recycle.
talk="n": 	Good.
talk="p": 	Transformation magic, eh?
talk="n": 	Yes. Nature gift me using magic. Know all kinds. Heal, illusion, grow, like that.
talk="p": 	So you use your magic to help nature back.
talk="n": 	Exact. Why She gave powers. Undo destruction of humanity.
talk="p": 	Ever consider moving back to town?
talk="n": 	Never! Lots of artificial, not nature. Never! Never! I happy here.
talk="p": 	Just wondering.
talk="p": 	Why did you transform Yetis into a dog?
talk="n": 	That! That! Did horrible! You know! I punish too!
talk="n": 	Fam Sanctaidd, caniatewch trawsnewid hwn--
talk="p": 	STOP! I am not his friend. I think what he did was terrible.
talk="n": 	Good. Take side of nature.
talk="p": 	(That was close!)
con_ORBS.xml
==============================
talk="Emere": 	(What was that?! It looked like one of those things I saw in my weird dream!)
talk="Emere": 	(No one else is freaking out. Am I the only one who can see it? I must be going crazy.)
talk="Emere": 	(Another one! What is wrong with me? It's not like they're bad, but they make me feel strange when I get them.)
talk="Emere": 	(It's like a part of me wants to get more of them. I feel like they open up doors in my mind.)
talk="Emere": 	(Ah! I just had a vision of something strange! People I've never seen before, with angry faces. A darkness covered the world.)
talk="Emere": 	(I feel like I should remember what is going on. I must have had these experiences before.)
talk="Emere": 	(Oh no! It's horrible! Feelings return from a lost time. Such hatred and darkness is overwhelming. Was I there? When? How?)
talk="Emere": 	(What's going on?! I only have one more orb to get. Maybe that will give me an answer.)
talk="Emere": 	(No! What? That doesn't even make sense. Wait... No! It can't be! No!)
talk="Emere": 	(Keeper of the orbs, I will find you! How dare you do this to me?)
talk="Ebisu": 	I'll be waiting, Emere. You are a mirror dislikes the night, that is why you complain. Return home.
talk="Emere": 	(I want answers! No more cryptic messages!)
con_Pierre.xml
==============================
talk="n": 	Hello, Emere. What business do you have here today at Lambda Drinks Corporation's headquarters?
talk="p": 	I was just dropping by to see how things were going.
talk="n": 	It has been busy here. I'm scrambling to find a replacement for myself that is up to par with me so that the whole corporation doesn't collapse when I leave.
talk="p": 	How's the search been?
talk="n": 	Not good. It's hard to find someone who knows as much about the company as I do.
talk="p": 	That's tough. Best of luck to you, good sir.
talk="p": 	Hey, Pierre.
talk="n": 	Why, hello, Emere. What brings you here?
talk="p": 	Just stopping by to see if there is anything I can do to help your search for a new CEO of your business.
talk="n": 	Well, as you know, the search has been slow. Originally, I had envisioned my son as head of Lambda Drinks Corporation, but his interests lie elsewhere. He was a perfect fit, too. Knows all sorts about the corporation.
talk="p": 	Aren't there plenty of business men that would be perfect for the job? They'll just have to learn the ropes of the organization.
talk="n": 	That's not the only problem. You see, here at Lambda Drinks Corporation, we take pride in having kept secret the recipe of our base drink that we use in all other drinks. The process of making the base drink is incredibly complex and only I know how it's made. I want to impart that information to someone who knows this corporation so much that they fall in love with it as I have and would never sell the secret for any amount of money or influence. I have yet to find that person.
talk="p": 	That's complicated. I'll keep my eyes out for anyone who looks like that.
talk="n": 	I doubt you'll find them on the streets, but I appreciate the offer.
talk="n": 	Make it quick, Emere. I've got a meeting soon.
talk="p": 	You got it. What qualities are you looking for, again?
talk="n": 	An enthusiastic, well-educated individual who knows the company inside out and can prove their loyalty to the company.
talk="p": 	And your son refuses the role?
talk="n": 	Talk to him yourself and you will see. I've got to run.
talk="n": 	Ah, Emere. We've been waiting for you. I'm about to give my final verdict.
talk="Jacques": 	Please accept her, father. She'll work hard, I just know it.
talk="n": 	Why, of course I have to give her the position.
talk="Mao": 	YESSSSSSS! WOOOOOOOO! ALRIGHT!
talk="Mao": 	...Sorry. I'm just so psyched to be working here. It's like a dream come true.
talk="p": 	Good for you, Mao.
talk="n": 	She is a perfect candidate. Has all I want and more. I see a commitment to this company in her eyes that I have never seen in anyone else's. I can fully entrust her with the complicated process for manufacturing the base drink.
talk="Mao": 	I am honored, sir.
talk="n": 	However, Mao, I believe you've got a lot of training to do. You've got no experience, but after a year of training, with your hard work you can definitely become a great CEO.
talk="Jacques": 	Thanks, Mao! I can now pursue my dream of becoming a poet thanks to you!
talk="n": 	Now, I've got some work to tend to, so I'll dismiss you all.
talk="n": 	Emere, please see me after the others leave. I have something to discuss with you.
talk="p": 	Okay.
talk="n": 	Ah, Emere. I'd like to repay you for finding a stellar replacement for myself as CEO of Lambda Drinks Corporation.
talk="p": 	If you're offering, I'll take anything.
talk="n": 	Hmmm...Well I'll give you something expensive so that if you don't like it, you can sell it and make a few bucks. Sound good?
talk="p": 	Sure!
talk="n": 	Alright. I don't know if you have enough wattage for it, but here's a waiver for a free MSI GeForce GTX 970, the latest and greatest graphics card. Enjoy!
talk="p": 	How about a, err, MRI GaiTorque 394 or something.
talk="n": 	Hah! Hah! Hah! I think you are talking about the MSI GeForce GTX 970, the latest and greatest graphics card, actually developed by my company. I'd be happy to give you one. Here's a waiver for a free one from the hardware store.
talk="p": 	Thanks!
talk="n": 	What are you waiting for? Redeem that waiver.
talk="n": 	Enjoy that hardware! I'm sorry I couldn't give you something that you would have liked more.
talk="p": 	It's fine. I'm using it for a good purpose, don't you worry.
talk="p": 	So the company's future is secured.
talk="n": 	Yes, thanks to you, I don't have to worry about retiring later. Mao is looking to be a better fit for the head of the company than even me.
talk="p": 	She's energetic, I'll give you that.
talk="n": 	And that's really the best quality for the head of a company, never ending energy. Someone who will stick with the company through good and bad.
con_Rais.xml
==============================
talk="p": 	Hey, mayor. What's going on?
talk="n": 	Emere! Good to see you. And please, call me Rais.
talk="p": 	Sure thing, mayor.
talk="n": 	Bah!
talk="n": 	Greetings, Emere. You decided yet about becoming my secretary?
talk="p": 	What could I possibly do as a secretary? All you do is do paperwork.
talk="n": 	That's not all I do. I also...go on vacation.
talk="p": 	Wow, interesting. As I've said before, I am already busy with school and I already have a job.
talk="n": 	This could be your job. It's very easy work, as you have said, it's mostly paperwork with a few speeches mixed in.
talk="p": 	Government jobs don't pay well, I'll stick to being an art teacher.
talk="n": 	Do as you wish.
talk="n": 	Not much. Just being old over here.
talk="p": 	That's very sad. Go outside and get some fresh air.
talk="n": 	I would, but I'm too busy preparing for the next election. Speeches don't write themselves.
talk="p": 	You don't need to worry about that. You're sure to get elected, the people love you.
talk="n": 	One can not only hope, but must also act.
talk="p": 	K.
talk="p": 	Mayor, are you rich?
talk="n": 	What kind of question is that? Very rude question. Since it's you, I'll tell you that I do have quite a bit of cash from my old entrepreneuring days. Did you know I started the gambling place in Fujita? Very profitable it was.
talk="p": 	Wow. You've got quite the past.
talk="n": 	Just don't mention that to the voters on election day. Now, why do you ask?
talk="p": 	I need a loan. It's important.
talk="n": 	Do you mind telling me what for?
talk="p": 	It's a long story.
talk="p": 	You see, this lady, Nakamura is in a dilemma--
talk="n": 	Hold on, did you say Nakamura? Oh boy... Haven't heard that name in a while.
talk="p": 	You know her?
talk="n": 	You could say that... Said she's in trouble?
talk="p": 	Yeah, her husband was murdered when he went to get a locket fixed. She's really sad now and I think giving here the locket will make her happier. I found the locket at a pawnshop, so I was wondering if you could loan me something expensive to trade. I can work as your secretary to pay you back if need be. How about it?
talk="n": 	That's a hard offer to refuse. But I do have to refuse it--
talk="p": 	But why? I can pay you--
talk="n": 	You didn't let me finish. I'll give you something for free.
talk="p": 	Oh. But, it wouldn't feel right not paying you back.
talk="n": 	It's fine, Emere. You see, back when I was a youngster like you, I went to the same school as Nakamura. I was a shy one, but once I joined the music club, I quickly made friends. Two of those friends were Nakamura and her future husband, Wallace. We did everything together, and my friendship quickly turned into love. However, shy as I was, I could never confess. Wallace beat me to it, and the two became lovers. I felt left out, and our meetings slowly faded away. I went to college to study business and never saw her again.
talk="n": 	How's that for a sad story? But you see, my love never faded. I never fell in love with anybody else, although I had plenty of opportunity to do so. That's why I still want to make her happy.
talk="n": 	Take this watch of mine to give to the pawnbroker.
talk="p": 	I am overwhelmed by your kind heart. You are the nicest old man I've met.
talk="n": 	Nice for an old man? That's quite the compliment.
talk="n": 	Just take the watch and make Nakamura happy.
talk="p": 	I'll be sure to mention you. Thank you!
talk="n": 	You got the locket yet? No? What are you waiting for?
talk="n": 	You got the locket yet? Yes? What are you waiting for? Give it to her.
talk="p": 	She says she'll visit you.
talk="n": 	Great!
talk="p": 	How's the election coming?
talk="n": 	Oh, just fine. I've got a speech tomorrow to give to the town. Mind proofreading it for me?
talk="p": 	I can do that.
talk="n": 	You're a great help, Emere. Thank you.
talk="p": 	Have you talked with Nakamura?
talk="n": 	Why, yes! She stopped by this morning for a cup of tea. We talked for nearly three hours, catching up on the years we lost together. We're even going out to dinner this next weekend.
talk="p": 	That's great! So...are you two dating?
talk="n": 	Well, erm, I...well I guess you could say that.
talk="p": 	Oooooooh! Good for you mayor!
talk="n": 	Your support is appreciated...
con_Risette.xml
==============================
talk="p": 	Good day.
talk="n": 	Hello. You're not from Nulato, are you?
talk="p": 	No. I live in Mourilyan. I'm looking around Nulato.
talk="n": 	Would you like me to give you a tour?
talk="p": 	It's a great offer, but I wouldn't want to trouble you.
talk="n": 	Suit yourself. Have a nice visit!
talk="p": 	Do you know Tanvir?
talk="n": 	What, do you want to murder his pure heart? I will never tell you where he is!
talk="p": 	You misunderstand. I've talked with Tanvir and I'd like to know his situation. He won't tell me.
talk="n": 	My apologies, dear. It's just that everyone has been trying to murder him after the local priest labeled him as the incarnation of the Demon.
talk="p": 	What happened? I don't follow this religion.
talk="n": 	Well, it all started after I revealed Tanvir to the town. I had been raising him in secret after I found him weak and stranded in the woods. They were scared at first, but after they saw his kind and gentle nature, they began to accept him. Jasper, our priest, did not trust Tanvir, and thought he would lead to our town's ruin. To try and dispose of him, he read over the Cerzan, our holy book, looking for a passage that might sound like the Demon showing up in the form of a wolf man. He found one that sounded vaguely like it and proclaimed it to the town at a sermon. The people believed it, and cast Tanvir out of town.
talk="p": 	Wow, why would Jasper do such a thing? That's not cool.
talk="n": 	I've talked to him many times, but he won't change his mind.
talk="p": 	It must have been hard for you.
talk="n": 	It was like my own son was exiled. I cried a lot at first, but I realized that I could still visit him without the townspeople knowing. I visit late at night so that no one suspects me of helping the Demon.
talk="p": 	I still can't believe people can be so cruel in the face of fear.
talk="p": 	What can I do to help?
talk="n": 	Well, if you've already failed talking some sense into Jasper, there isn't much.
talk="p": 	Could I find the passage and prove him wrong before the town?
talk="n": 	I don't think anybody would believe what anyone says to battle Jasper except perhaps a recognized person like another priest, a scholar, or a mayor.
talk="n": 	Thank you so much for all you are doing for my Tanvir. I am filled with joy at the thought of his return.
talk="n": 	My little Tanvir has come back to me! Thank you so much!
talk="n": 	I'd love to have you over for tea sometime.
talk="p": 	Yes, that would be splendid. I'd love to come over.
talk="n": 	Is that a new dress?
talk="p": 	Why, yes. It is.
talk="n": 	It suits you well. It's so pretty.
con_Ryker.xml
==============================
talk="n": 	Why, hello there, miss.
talk="p": 	Hi.
talk="n": 	Tell me. How rich do you think I am?
talk="p": 	Average rich.
talk="n": 	No! Don't be ridiculous! I am much richer than the average commoner.
talk="p": 	Super rich.
talk="n": 	Hmm. Close, but not quite an accurate description of my vast wealth.
talk="p": 	So rich you could buy one of the moons.
talk="n": 	Preciously! But, you know I would never do that, for the good of the people.
talk="n": 	I am so rich! I have so much money; I don't know what to do with it all! I own every invention and luxury.
talk="p": 	Why don't you spread the wealth, then and help some other people.
talk="n": 	That's a marvelous idea! You'll be the first to receive my grace of money.
talk="p": 	Cool! What do I get?
talk="n": 	Take this, it's worth over #300.
talk="p": 	Whoa, thanks!
talk="n": 	Fulalalala! Being rich! Fulalalala!
con_Samad.xml
==============================
talk="p": 	Traveling merchant, what goods do you sell?
talk="n": 	Only the finest spices around. You want it, I have it. Cumin, basil, cilantro, lavender, you name it.
talk="p": 	Hmm. This saffron looks interesting. What's the price?
talk="n": 	#80 per upna.
talk="p": 	Yikes! No thanks.
talk="p": 	Which one is the best value?
talk="n": 	Peppercorns add a lot of flavor and are a low cost at #2 per upna.
talk="p": 	Oooh. I might be back later to buy some. I don't have the money right now.
talk="n": 	I'll be here all week.
talk="p": 	What's wrong? You seem a bit down.
talk="n": 	...If you must know, I am having a fight with my girlfriend.
talk="p": 	Sucks for you.
talk="n": 	You really know how to make someone feel better.
talk="p": 	Talk it out with me. I might be able to help you feel better.
talk="n": 	Forgive me for bringing you into this.
talk="n": 	So, we were going on a date, right. And right as we were talking, she suddenly got very upset at me and fled. I haven't talked to her in two days because I don't know what I did.
talk="p": 	That's awful! You shouldn't leave her alone like that. She'll think you don't care about her enough to see her. Go as soon as you can and apologize. Ask what you did wrong and just be honest. I'm sure it will work out.
talk="n": 	Oh, I didn't realize. I feel so stupid now. Thank you for the advice!
talk="n": 	You know? I'm going to give you a bundle of spices, on the house. It's the only thanks I can give.
talk="p": 	Are you sure? Thanks!
talk="n": 	Come back a bit later and I'll have it for you. I need to talk to my girlfriend first.
talk="n": 	Thanks for waiting, here's Samad's Special Spice Spread.
talk="p": 	Yay!
talk="p": 	How did it work out?
talk="n": 	It couldn't have resolved better! I did everything you said and she forgave me. I'm shocked at how you knew just what to do, you love goddess.
talk="p": 	Hah! I just know women better than you do. What did she say the problem was?
talk="n": 	Oh, she told me not to tell anyone. Sorry.
talk="p": 	That's alright. Well, glad it worked out.
talk="p": 	Been in the spice business for a while?
talk="n": 	Yes. It's a family business. My great, great, great, great grandfather started traveling the world, selling lots of spices and growing in popularity. My father started teaching me the ways of the merchant since I could walk. Now, I continue the legacy.
talk="p": 	I can tell you like your job a lot.
talk="n": 	Sure do.
con_Tanvir.xml
==============================
talk="n": 	Human, what brings you to my dwelling?
talk="p": 	(Whoa, he looks like he came out of a fantasy novel or something.)
talk="n": 	Ah, I see. You're like the rest of them. Come to point and laugh at my monstrous features. Don't make me chase you out of here.
talk="p": 	Yep, pretty much.
talk="n": 	Grrrrr!
talk="p": 	That's not it!
talk="n": 	What is it then that brought you here?
talk="p": 	I heard rumors of a wolfman living in the forest and I thought of how lonely you must be. I've come to keep you company.
talk="n": 	You must be a kind person. But, I don't need your help. I'm not that lonely. Although, most of my visitors aren't nice most of the time.
talk="p": 	Is that why you can't live in town?
talk="n": 	Precisely. I don't want to tell you anymore, because I don't like to talk about this. I'll be fine. Just leave the lone wolf to himself. I'll just keep living in solitude.
talk="p": 	I can't just stand by and do nothing while you're suffering! I'll try to convince the townspeople to let you live with them. Everybody needs other people's company.
talk="n": 	Except I'm not a person. I'm an animal, a beast. Don't waste your time trying to help me.
talk="p": 	Did you try moving to another town?
talk="n": 	I thought about it, but I didn't want to be outcast again by some religious nonsense.
talk="p": 	Good point.
talk="p": 	You must have some friends.
talk="n": 	Yes. But only one. Her name is Risette. I guess you could call her my mother. She found me while I was still young and took me into her home in Nulato. She is a very kind woman. It was very sad for her when I was exiled.
talk="p": 	Why were you exiled?
talk="n": 	I told you I don't want to talk about it.
talk="p": 	Okay.
talk="p": 	You won't believe this, Tanvir. I might be able to get you back into town. I've gotten Masaru, a scholar from Mourilyan to fight against Jasper for your case.
talk="n": 	That's great! But, why are you doing this for me?
talk="p": 	I want to see everyone happy. That includes you, Tanvir.
talk="n": 	But I'm not human.
talk="p": 	You're human-like, and that's all that matters. You've got your own personality, strengths and weaknesses. You'll get along fine with others, I just need to show them what I see in you.
talk="n": 	You're just too nice. You've made me happier than I've been in a while. When is Masaru going to do his thing?
talk="p": 	Well, we're kind of stuck. We need a large picture of you to show in front of the town because they won't let you inside and Masaru needs to remind them what you look like so that he can make his point. The artist needs bristles for a large brush to paint the picture efficiently.
talk="n": 	I've got an idea. How about you use some of my hair for the bristles?
talk="p": 	Won't that hurt and create a patchy spot on your fur?
talk="n": 	It's a sacrifice I'm willing to make for my freedom. It won't take long.
talk="n": 	1..2..3... HARRROOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!
talk="p": 	(I think my eardrums just burst.)
talk="n": 	Man! That kills! Here's some of the finest grade bristles.
talk="n": 	I'm ready to be drawn. Give my fur to Wen.
talk="n": 	That girl Wen is quite the artist. She drew me in just under two hours. It looks great, too!
talk="n": 	Come here!
talk="p": 	Whoa! That's a huge hug!
talk="n": 	You have infinitely improved my life! I am on good terms with everyone in town. I can go out without fear of discrimination. Best of all, I am treated like a normal human! I thank you with all my power.
talk="p": 	I'm glad I could help, Tanvir.
talk="p": 	How were you born?
talk="n": 	I have yet to find that answer. I think I just popped into existence, or something.
talk="p": 	Do you work?
talk="n": 	Not currently, but I am seeking employment. I'm quite strong, so it will be easy to get a job in the mines or at a lumber company.
talk="p": 	What will happen to your old house?
talk="n": 	Once I've finished moving out of it, I'll leave it open for anyone's use. For kids who want to play, or for someone seeking a quiet place.
talk="p": 	That's very noble of you.
con_Velazquez.xml
==============================
talk="n": 	(Hello, human. You have entered the lair of Velazquez the Great. What can I help you with?)
talk="p": 	Um. Why are you called "the Great"?
talk="n": 	(You ignorant girl! You have never heard of the Great Velazquez, the conqueror of both Cuba and Mexico?)
talk="p": 	Nope. Never.
talk="n": 	(Dios mio! I've led countless bird brethren across the oceans far and wide to conquer all the lands. World domination will soon be possible!)
talk="p": 	Keep dreaming, bird.
talk="n": 	(Greetings! You are speaking to Velazquez the Great. How may I help you?)
talk="p": 	Um. Why are you hanging around here?
talk="n": 	(I am fighting a great war against an empress. She has yet to surrender, even though all her army's fled.)
talk="p": 	You mean the stable lady? Did you free her animals?
talk="n": 	(Why, yes. I freed the captured slaves under her rule. If she'd only give me a piece of food as a token of peace, I will leave this place.)
talk="p": 	(This bird...)
talk="n": 	(Greetings, mortal. I am Velazquez the Great.)
talk="p": 	Um. So your name is Velazquez?
talk="n": 	(Yes, I just told you that! But that's a shortening of my name. My real name is Pablo Diego José Francisco de Paula Juan Nepomuceno de la Santísima Trinidad Martyr Patricio Clito Velazquez.
talk="p": 	Whoa, okay.
con_Wen.xml
==============================
talk="n": 	My, my. Emere. How's the job been?
talk="p": 	It's good teaching children art. I just wish I had more time for working on personal projects like when I worked with you.
talk="n": 	The life of an artist is tough. We've been given the job to probe and explore the creative frontier for other people's enjoyment.
talk="n": 	I overheard you talking with Masaru. I would be glad to quickly paint a picture for you.
talk="p": 	Sorry to make you do this.
talk="n": 	It's fine. The only problem is I've run one of my brushes out as all the bristles on the end are gone. It's a thick brush that the store doesn't sell, and I can't paint something big enough for a whole town to see without it. Do you own a large brush I could borrow?
talk="p": 	No, I don't. Sorry. I'll look around and see if I can find one.
talk="n": 	I either need a new brush or I could glue some large, thick bristles on if that's easier to find.
talk="p": 	(How would large bristles be easier to find? It's not like I can skin an animal of its hair.)
talk="p": 	Tanvir gave me some of his hair to use as bristles.
talk="n": 	That poor man! He must be in a lot of pain.
talk="n": 	These hairs will do, they're nice and soft. Well, I'll pack some supplies and head out for Tanvir's house. Meet me there to pick up the drawing later today.
talk="p": 	Okay!
talk="n": 	Ah, Emere. Just in time. I've finished painting Tanvir. I'll let you be the judge of how good it looks.
talk="p": 	It looks great for the amount of time you had to spend on it! I'll give this to Masaru.
talk="n": 	Give the picture to my husband.
talk="n": 	What's been going on?
talk="p": 	Have you seen the new painting the mayor bought? It looks amazing.
talk="n": 	No, but I've heard of it. It's by the famous artist, Emelia Spanner, right? Her paintings are worth top dollar.
talk="p": 	It's a painting depicting a landscape of a castle surrounded by flowers. It's beautiful.
talk="n": 	I'll have to see it some time.
talk="p": 	I'd like to have you review a piece of art I've been working on.
talk="n": 	Is it one of your paintings?
talk="p": 	No, it's a sculpture I've made.
talk="n": 	It's... interesting. What is it of exactly?
talk="p": 	You don't see it? It's supposed to be a dog.
talk="n": 	Oh. Why does it have a bean shaped head?
talk="p": 	It's Bean Dog. I guess you're too old to get the reference.
talk="p": 	It's my mom's birthday soon. What should I get her?
talk="n": 	Well, parents love homemade gifts. Why don't you paint for her?
talk="p": 	I don't have any idea.
talk="n": 	How about a fluffy kitten?
talk="p": 	Fluffy kitten, huh...That might work. Thanks!
con_Woden.xml
==============================
talk="n": 	The boss doesn't take kindly to visitors, you hear? Scram!
talk="n": 	The boss is considering you? Ha! I don't see what he sees in you, but if the boss says so, you must be good for something.
talk="n": 	Do you need something, punk?
talk="p": 	Yeah. (You're awfully rude to a fellow gang member.) I'm wondering if the boss is free.
talk="n": 	Why don't you ask him yourself, then? Or are you too high class to talk to someone like him?
talk="p": 	That's not it. (I hate your personality. Should I mess with you?)
talk="p": 	I guess I can ask you instead.
talk="p": 	I've heard rumors of some really easy money.
talk="n": 	What kind of operation are you talking about?
talk="p": 	Taking from an old, senile, and most importantly rich, woman who lives close by.
talk="n": 	And the boss doesn't know about this?
talk="p": 	Oh, he knows. And he's been making a fortune stealing from this woman for over a month now.
